a	pref_name
(106861,ORGANISM,"Laetiporus sulphureus",5630,"Laetiporus sulphureus",CHEMBL2366730,0)	Laetiporus sulphureus
(106862,ORGANISM,"Avena sterilis",83444,"Avena sterilis",CHEMBL2366731,0)	Avena sterilis
(106863,ORGANISM,"Boerhavia erecta",363203,"Boerhavia erecta",CHEMBL2366732,0)	Boerhavia erecta
(106864,ORGANISM,"Portulaca oleracea",46147,"Portulaca oleracea",CHEMBL2366733,0)	Portulaca oleracea
(106865,ORGANISM,"Amaranthus dubius",3564,"Amaranthus dubius",CHEMBL2366734,0)	Amaranthus dubius
(106866,ORGANISM,"Rhyzopertha dominica",92692,"Rhyzopertha dominica",CHEMBL2366735,0)	Rhyzopertha dominica
(106867,ORGANISM,"Rotylenchulus reniformis",239373,"Rotylenchulus reniformis",CHEMBL2366736,0)	Rotylenchulus reniformis
(106868,ORGANISM,"Helicoverpa assulta",52344,"Helicoverpa assulta",CHEMBL2366737,0)	Helicoverpa assulta
(106869,ORGANISM,"Daucus carota",4039,"Daucus carota",CHEMBL2366738,0)	Daucus carota
(106870,ORGANISM,"Puccinia triticina",208348,"Puccinia triticina",CHEMBL2366739,0)	Puccinia triticina
(106871,ORGANISM,"Escherichia coli DH5[alpha]",668369,"Escherichia coli DH5[alpha]",CHEMBL2366740,0)	Escherichia coli DH5[alpha]
(106872,ORGANISM,"Anticarsia gemmatalis",129554,"Anticarsia gemmatalis",CHEMBL2366741,0)	Anticarsia gemmatalis
(106873,ORGANISM,"Fusarium udum",42665,"Fusarium udum",CHEMBL2366742,0)	Fusarium udum
(106874,ORGANISM,"Fusarium oxysporum f. sp. niveum",120297,"Fusarium oxysporum f. sp. niveum",CHEMBL2366743,0)	Fusarium oxysporum f. sp. niveum
(106875,ORGANISM,"Trifolium pratense",57577,"Trifolium pratense",CHEMBL2366744,0)	Trifolium pratense
(106876,ORGANISM,"Sonchus arvensis",50192,"Sonchus arvensis",CHEMBL2366745,0)	Sonchus arvensis
(106877,ORGANISM,"Musa acuminata AAA Group",214697,"Musa acuminata AAA Group",CHEMBL2366746,0)	Musa acuminata AAA Group
(106878,ORGANISM,"Fomitopsis palustris",186125,"Fomitopsis palustris",CHEMBL2366747,0)	Fomitopsis palustris
(106879,ORGANISM,"Liposcelis bostrychophila",185214,"Liposcelis bostrychophila",CHEMBL2366748,0)	Liposcelis bostrychophila
(106880,ORGANISM,"Amaranthus caudatus",3567,"Amaranthus caudatus",CHEMBL2366749,0)	Amaranthus caudatus
(106881,ORGANISM,"Diplodia seriata",420778,"Diplodia seriata",CHEMBL2366750,0)	Diplodia seriata
(106882,ORGANISM,"Plodia interpunctella",58824,"Plodia interpunctella",CHEMBL2366751,0)	Plodia interpunctella
(106883,ORGANISM,"Vicia faba",3906,"Vicia faba",CHEMBL2366752,0)	Vicia faba
(106884,ORGANISM,"Dothiorella gregaria",509222,"Dothiorella gregaria",CHEMBL2366753,0)	Dothiorella gregaria
(106885,ORGANISM,"Piptatherum miliaceum",52158,"Piptatherum miliaceum",CHEMBL2366754,0)	Piptatherum miliaceum
(106886,ORGANISM,"Human herpesvirus 2 strain G",10314,"Human herpesvirus 2 strain G",CHEMBL2366755,0)	Human herpesvirus 2 strain G
(106887,ORGANISM,"Erwinia pyrifoliae",79967,"Erwinia pyrifoliae",CHEMBL2366756,0)	Erwinia pyrifoliae
(106888,ORGANISM,"Commelina communis",4744,"Commelina communis",CHEMBL2366757,0)	Commelina communis
(106889,ORGANISM,"Conyza sumatrensis",212787,"Conyza sumatrensis",CHEMBL2366758,0)	Conyza sumatrensis
(106890,ORGANISM,"Pseudomonas syringae pv. phaseolicola",319,"Pseudomonas syringae pv. phaseolicola",CHEMBL2366759,0)	Pseudomonas syringae pv. phaseolicola
(106891,ORGANISM,"Scytonema hofmanni",34078,"Scytonema hofmanni",CHEMBL2366760,0)	Scytonema hofmanni
(106892,ORGANISM,Doru,163242,Doru,CHEMBL2366761,1)	Doru
(106893,ORGANISM,"Malva sylvestris",145754,"Malva sylvestris",CHEMBL2366762,0)	Malva sylvestris
(106894,ORGANISM,Matricaria,56016,Matricaria,CHEMBL2366763,1)	Matricaria
(106895,ORGANISM,"Monographella nivalis var. nivalis",594596,"Monographella nivalis var. nivalis",CHEMBL2366764,0)	Monographella nivalis var. nivalis
(106896,ORGANISM,"Centaurea maculosa",215693,"Centaurea maculosa",CHEMBL2366765,0)	Centaurea maculosa
(106897,ORGANISM,"Tetranychus kanzawai",50028,"Tetranychus kanzawai",CHEMBL2366766,0)	Tetranychus kanzawai
(106898,ORGANISM,"Elatine triandra",256093,"Elatine triandra",CHEMBL2366767,0)	Elatine triandra
(106899,ORGANISM,"Frankliniella occidentalis",133901,"Frankliniella occidentalis",CHEMBL2366768,0)	Frankliniella occidentalis
(106900,ORGANISM,"Veronica persica",138560,"Veronica persica",CHEMBL2366769,0)	Veronica persica
(106901,ORGANISM,"Dermatophagoides farinae",6954,"Dermatophagoides farinae",CHEMBL2366770,0)	Dermatophagoides farinae
(106902,ORGANISM,"Vigna angularis",3914,"Vigna angularis",CHEMBL2366771,0)	Vigna angularis
(106903,ORGANISM,"Plasmodiophora brassicae",37360,"Plasmodiophora brassicae",CHEMBL2366772,0)	Plasmodiophora brassicae
(106904,ORGANISM,"Phalaris arundinacea",96050,"Phalaris arundinacea",CHEMBL2366773,0)	Phalaris arundinacea
(106905,ORGANISM,"Matricaria chamomilla",98504,"Matricaria chamomilla",CHEMBL2366774,0)	Matricaria chamomilla
(106906,ORGANISM,"Sphaerotheca cucurbitae",57464,"Sphaerotheca cucurbitae",CHEMBL2366775,0)	Sphaerotheca cucurbitae
(106907,ORGANISM,"Trichothecium roseum",47278,"Trichothecium roseum",CHEMBL2366776,0)	Trichothecium roseum
(106908,ORGANISM,Delphacodes,173790,Delphacodes,CHEMBL2366777,1)	Delphacodes
(106909,ORGANISM,"Pyrenophora tritici-repentis",45151,"Pyrenophora tritici-repentis",CHEMBL2366778,0)	Pyrenophora tritici-repentis
(106910,ORGANISM,"Festuca rubra",52153,"Festuca rubra",CHEMBL2366779,0)	Festuca rubra
(106911,ORGANISM,"Metaseiulus occidentalis",34638,"Metaseiulus occidentalis",CHEMBL2366780,0)	Metaseiulus occidentalis
(106912,ORGANISM,"Trypanosoma lewisi",5695,"Trypanosoma lewisi",CHEMBL2366781,0)	Trypanosoma lewisi
(106913,ORGANISM,"Solanum melongena",4111,"Solanum melongena",CHEMBL2366782,0)	Solanum melongena
(106914,ORGANISM,"Apera spica-venti",325525,"Apera spica-venti",CHEMBL2366783,0)	Apera spica-venti
(106915,ORGANISM,"Allium tuberosum",4683,"Allium tuberosum",CHEMBL2366784,0)	Allium tuberosum
(106916,ORGANISM,"Photorhabdus luminescens",29488,"Photorhabdus luminescens",CHEMBL2366785,0)	Photorhabdus luminescens
(106917,ORGANISM,"Henosepilachna vigintioctopunctata",420089,"Henosepilachna vigintioctopunctata",CHEMBL2366786,0)	Henosepilachna vigintioctopunctata
(106918,ORGANISM,"Saccharomycodes ludwigii",36035,"Saccharomycodes ludwigii",CHEMBL2366787,0)	Saccharomycodes ludwigii
(106919,ORGANISM,"Rhizoctonia solani AG-1 IA",983506,"Rhizoctonia solani AG-1 IA",CHEMBL2366788,0)	Rhizoctonia solani AG-1 IA
(106920,ORGANISM,"Diaphorina citri",121845,"Diaphorina citri",CHEMBL2366789,0)	Diaphorina citri
(106922,ORGANISM,"Planorbella trivolvis",283763,"Planorbella trivolvis",CHEMBL2366791,0)	Planorbella trivolvis
(106923,ORGANISM,"Euproctis fraterna",711052,"Euproctis fraterna",CHEMBL2366792,0)	Euproctis fraterna
(106924,ORGANISM,"Mycobacterium smegmatis str. MC2 155",246196,"Mycobacterium smegmatis str. MC2 155",CHEMBL2366793,0)	Mycobacterium smegmatis str. MC2 155
(106925,ORGANISM,"Streptococcus pneumoniae R6",171101,"Streptococcus pneumoniae R6",CHEMBL2366794,0)	Streptococcus pneumoniae R6
(106926,ORGANISM,"Aphelenchoides besseyi",269767,"Aphelenchoides besseyi",CHEMBL2366795,0)	Aphelenchoides besseyi
(106927,ORGANISM,Cheumatopsyche,177865,Cheumatopsyche,CHEMBL2366796,1)	Cheumatopsyche
(106928,ORGANISM,"Daedalea dickinsii",157706,"Daedalea dickinsii",CHEMBL2366797,0)	Daedalea dickinsii
(106929,ORGANISM,"Micrococcus luteus NCTC 2665",465515,"Micrococcus luteus NCTC 2665",CHEMBL2366798,0)	Micrococcus luteus NCTC 2665
(106930,ORGANISM,"Prosopis farcta",264982,"Prosopis farcta",CHEMBL2366799,0)	Prosopis farcta
(106931,ORGANISM,"Staphylococcus aureus subsp. aureus",46170,"Staphylococcus aureus subsp. aureus",CHEMBL2366800,0)	Staphylococcus aureus subsp. aureus
(106932,ORGANISM,"Leptosphaeria biglobosa",220672,"Leptosphaeria biglobosa",CHEMBL2366801,0)	Leptosphaeria biglobosa
(106933,ORGANISM,"Urochloa mutica",158174,"Urochloa mutica",CHEMBL2366802,0)	Urochloa mutica
(106934,ORGANISM,"Descurainia sophia",89411,"Descurainia sophia",CHEMBL2366803,0)	Descurainia sophia
(106935,ORGANISM,"Symmetrischema tangolias",1216959,"Symmetrischema tangolias",CHEMBL2366804,0)	Symmetrischema tangolias
(106936,ORGANISM,"Phthorimaea operculella",192464,"Phthorimaea operculella",CHEMBL2366805,0)	Phthorimaea operculella
(106937,ORGANISM,"Paraixeris denticulata",77561,"Paraixeris denticulata",CHEMBL2366806,0)	Paraixeris denticulata
(106938,ORGANISM,"Pestalotiopsis sp.",36460,"Pestalotiopsis sp.",CHEMBL2366807,0)	Pestalotiopsis sp.
(106940,ORGANISM,"Helicobasidium mompa",54444,"Helicobasidium mompa",CHEMBL2366809,0)	Helicobasidium mompa
(106942,ORGANISM,"Boehmeria nivea",83906,"Boehmeria nivea",CHEMBL2366811,0)	Boehmeria nivea
(106943,ORGANISM,"Agrobacterium tumefaciens str. B6",1183423,"Agrobacterium tumefaciens str. B6",CHEMBL2366812,0)	Agrobacterium tumefaciens str. B6
(106944,ORGANISM,"Curcuma longa",136217,"Curcuma longa",CHEMBL2366813,0)	Curcuma longa
(106945,ORGANISM,"Xanthomonas campestris pv. campestris",340,"Xanthomonas campestris pv. campestris",CHEMBL2366814,0)	Xanthomonas campestris pv. campestris
(106946,ORGANISM,"Persicaria hydropiper",46901,"Persicaria hydropiper",CHEMBL2366815,0)	Persicaria hydropiper
(106947,ORGANISM,"Trichoderma reesei",51453,"Trichoderma reesei",CHEMBL2366816,0)	Trichoderma reesei
(106948,ORGANISM,"Ditylenchus myceliophagus",346252,"Ditylenchus myceliophagus",CHEMBL2366817,0)	Ditylenchus myceliophagus
(106949,ORGANISM,"Calendula officinalis",41496,"Calendula officinalis",CHEMBL2366818,0)	Calendula officinalis
(106950,ORGANISM,"Monascus purpureus",5098,"Monascus purpureus",CHEMBL2366819,0)	Monascus purpureus
(106951,ORGANISM,"Sphaerotheca humuli",180121,"Sphaerotheca humuli",CHEMBL2366820,0)	Sphaerotheca humuli
(106952,ORGANISM,Isoptera,7499,Isoptera,CHEMBL2366821,1)	Isoptera
(106953,ORGANISM,"Mythimna separata",271217,"Mythimna separata",CHEMBL2366822,0)	Mythimna separata
(106954,ORGANISM,"Meloidogyne hapla",6305,"Meloidogyne hapla",CHEMBL2366823,0)	Meloidogyne hapla
(106955,ORGANISM,"Sitophilus oryzae",7048,"Sitophilus oryzae",CHEMBL2366824,0)	Sitophilus oryzae
(106956,ORGANISM,"Pyrenophora teres",53485,"Pyrenophora teres",CHEMBL2366825,0)	Pyrenophora teres
(106957,ORGANISM,"Pestalotiopsis microspora",85828,"Pestalotiopsis microspora",CHEMBL2366826,0)	Pestalotiopsis microspora
(106958,ORGANISM,"Physalis ixocarpa",374031,"Physalis ixocarpa",CHEMBL2366827,0)	Physalis ixocarpa
(106959,ORGANISM,"Brassica rapa subsp. oleifera",145471,"Brassica rapa subsp. oleifera",CHEMBL2366828,0)	Brassica rapa subsp. oleifera
(106960,ORGANISM,"Monochoria vaginalis",44972,"Monochoria vaginalis",CHEMBL2366829,0)	Monochoria vaginalis
(106961,ORGANISM,"Brassica rapa subsp. chinensis",93385,"Brassica rapa subsp. chinensis",CHEMBL2366830,0)	Brassica rapa subsp. chinensis
(106962,ORGANISM,"Carnation ringspot virus",12268,"Carnation ringspot virus",CHEMBL2366831,0)	Carnation ringspot virus
(106963,ORGANISM,"Reticulitermes speratus",60591,"Reticulitermes speratus",CHEMBL2366832,0)	Reticulitermes speratus
(106964,ORGANISM,Eysarcoris,702481,Eysarcoris,CHEMBL2366833,1)	Eysarcoris
(106965,ORGANISM,"Fusarium graminearum",5518,"Fusarium graminearum",CHEMBL2366834,0)	Fusarium graminearum
(106966,ORGANISM,"Elymus repens",52152,"Elymus repens",CHEMBL2366835,0)	Elymus repens
(106967,ORGANISM,"Cochliobolus pallescens",318706,"Cochliobolus pallescens",CHEMBL2366836,0)	Cochliobolus pallescens
(106968,ORGANISM,"Hordeum vulgare",4513,"Hordeum vulgare",CHEMBL2366837,0)	Hordeum vulgare
(106969,ORGANISM,"Diplodia mutila",85927,"Diplodia mutila",CHEMBL2366838,0)	Diplodia mutila
(106970,ORGANISM,"Neofusicoccum luteum",120395,"Neofusicoccum luteum",CHEMBL2366839,0)	Neofusicoccum luteum
(106971,ORGANISM,"Arenaria serpyllifolia",254029,"Arenaria serpyllifolia",CHEMBL2366840,0)	Arenaria serpyllifolia
(106972,ORGANISM,"Capsella bursa-pastoris",3719,"Capsella bursa-pastoris",CHEMBL2366841,0)	Capsella bursa-pastoris
(106973,ORGANISM,"Pseudomonas syringae pv. syringae",321,"Pseudomonas syringae pv. syringae",CHEMBL2366842,0)	Pseudomonas syringae pv. syringae
(106974,ORGANISM,"Pseudomonas syringae pv. lachrymans",53707,"Pseudomonas syringae pv. lachrymans",CHEMBL2366843,0)	Pseudomonas syringae pv. lachrymans
(106975,ORGANISM,"Rumex crispus",174649,"Rumex crispus",CHEMBL2366844,0)	Rumex crispus
(106976,ORGANISM,"Lathyrus sativus",3860,"Lathyrus sativus",CHEMBL2366845,0)	Lathyrus sativus
(106977,ORGANISM,"Lens culinaris",3864,"Lens culinaris",CHEMBL2366846,0)	Lens culinaris
(106978,ORGANISM,"Escherichia coli ATCC 8739",481805,"Escherichia coli ATCC 8739",CHEMBL2366847,0)	Escherichia coli ATCC 8739
(106979,ORGANISM,"Phytophthora melonis",120023,"Phytophthora melonis",CHEMBL2366848,0)	Phytophthora melonis
(106980,ORGANISM,"Lenzites betulinus",5632,"Lenzites betulinus",CHEMBL2366849,0)	Lenzites betulinus
(106981,ORGANISM,"Zoysia matrella",38722,"Zoysia matrella",CHEMBL2366850,0)	Zoysia matrella
(106982,ORGANISM,"Panonychus citri",50023,"Panonychus citri",CHEMBL2366851,0)	Panonychus citri
(106983,ORGANISM,"Thielaviopsis basicola",124036,"Thielaviopsis basicola",CHEMBL2366852,0)	Thielaviopsis basicola
(106984,ORGANISM,"Digitaria ciliaris",66018,"Digitaria ciliaris",CHEMBL2366853,0)	Digitaria ciliaris
(106985,ORGANISM,"Tyrophagus putrescentiae",59818,"Tyrophagus putrescentiae",CHEMBL2366854,0)	Tyrophagus putrescentiae
(106986,ORGANISM,"Pieris brassicae",7116,"Pieris brassicae",CHEMBL2366855,0)	Pieris brassicae
(106987,ORGANISM,"Fusarium oxysporum f. sp. melongenae",120296,"Fusarium oxysporum f. sp. melongenae",CHEMBL2366856,0)	Fusarium oxysporum f. sp. melongenae
(106988,ORGANISM,"Pueraria montana var. lobata",3893,"Pueraria montana var. lobata",CHEMBL2366857,0)	Pueraria montana var. lobata
(106989,ORGANISM,"Cucurbita moschata x Cucurbita maxima",334420,"Cucurbita moschata x Cucurbita maxima",CHEMBL2366858,0)	Cucurbita moschata x Cucurbita maxima
(106990,ORGANISM,"Orobanche minor",36748,"Orobanche minor",CHEMBL2366859,0)	Orobanche minor
(106991,ORGANISM,"Bacillus subtilis subsp. subtilis",135461,"Bacillus subtilis subsp. subtilis",CHEMBL2366860,0)	Bacillus subtilis subsp. subtilis
(106992,ORGANISM,"Hyaloperonospora parasitica",123356,"Hyaloperonospora parasitica",CHEMBL2366861,0)	Hyaloperonospora parasitica
(106993,ORGANISM,"Typhlodromips swirskii",759916,"Typhlodromips swirskii",CHEMBL2366862,0)	Typhlodromips swirskii
(106994,ORGANISM,"Bactrocera oleae",104688,"Bactrocera oleae",CHEMBL2366863,0)	Bactrocera oleae
(106995,ORGANISM,"Poa pratensis subsp. pratensis",368382,"Poa pratensis subsp. pratensis",CHEMBL2366864,0)	Poa pratensis subsp. pratensis
(106996,ORGANISM,"Human immunodeficiency virus type 2 (ISOLATE ROD)",11720,"Human immunodeficiency virus type 2 (ISOLATE ROD)",CHEMBL2366865,0)	Human immunodeficiency virus type 2 (ISOLATE ROD)
(106997,ORGANISM,"Gloeocercospora sorghi",5563,"Gloeocercospora sorghi",CHEMBL2366866,0)	Gloeocercospora sorghi
(106998,ORGANISM,"Human herpesvirus 3 strain Oka vaccine",341980,"Human herpesvirus 3 strain Oka vaccine",CHEMBL2366867,0)	Human herpesvirus 3 strain Oka vaccine
(106999,ORGANISM,"Colletotrichum truncatum",5467,"Colletotrichum truncatum",CHEMBL2366868,0)	Colletotrichum truncatum
(107000,ORGANISM,"Sclerotium delphinii",180424,"Sclerotium delphinii",CHEMBL2366869,0)	Sclerotium delphinii
(107001,ORGANISM,"Staphylococcus xylosus",1288,"Staphylococcus xylosus",CHEMBL2366870,0)	Staphylococcus xylosus
(107002,ORGANISM,"Erysiphe necator",52586,"Erysiphe necator",CHEMBL2366871,0)	Erysiphe necator
(107003,ORGANISM,"Setophoma terrestris",798162,"Setophoma terrestris",CHEMBL2366872,0)	Setophoma terrestris
(107004,ORGANISM,"Schoenoplectus acutus",140885,"Schoenoplectus acutus",CHEMBL2366873,0)	Schoenoplectus acutus
(107005,ORGANISM,"Olea europaea",4146,"Olea europaea",CHEMBL2366874,0)	Olea europaea
(107006,ORGANISM,"Puccinia arachidis",333523,"Puccinia arachidis",CHEMBL2366875,0)	Puccinia arachidis
(107007,ORGANISM,"Persicaria lapathifolia",430754,"Persicaria lapathifolia",CHEMBL2366876,0)	Persicaria lapathifolia
(107008,ORGANISM,"Malus x domestica",3750,"Malus x domestica",CHEMBL2366877,0)	Malus x domestica
(107009,ORGANISM,"Anastrepha ludens",28586,"Anastrepha ludens",CHEMBL2366878,0)	Anastrepha ludens
(107010,ORGANISM,"Oscillatoria perornata",1158,"Oscillatoria perornata",CHEMBL2366879,0)	Oscillatoria perornata
(107011,ORGANISM,"Brassica rapa subsp. pekinensis",51351,"Brassica rapa subsp. pekinensis",CHEMBL2366880,0)	Brassica rapa subsp. pekinensis
(107012,ORGANISM,"Sagittaria pygmaea",258217,"Sagittaria pygmaea",CHEMBL2366881,0)	Sagittaria pygmaea
(107013,ORGANISM,"Panonychus ulmi",50024,"Panonychus ulmi",CHEMBL2366882,0)	Panonychus ulmi
(107014,ORGANISM,"Eleusine coracana",4511,"Eleusine coracana",CHEMBL2366883,0)	Eleusine coracana
(107015,ORGANISM,"Microtus arvalis",47230,"Microtus arvalis",CHEMBL2366884,0)	Microtus arvalis
(107016,ORGANISM,"Streptomyces acidiscabies",42234,"Streptomyces acidiscabies",CHEMBL2366885,0)	Streptomyces acidiscabies
(107017,ORGANISM,"Lissorhoptrus oryzophilus",308863,"Lissorhoptrus oryzophilus",CHEMBL2366886,0)	Lissorhoptrus oryzophilus
(107018,ORGANISM,"Pratylenchus penetrans",45929,"Pratylenchus penetrans",CHEMBL2366887,0)	Pratylenchus penetrans
(107019,ORGANISM,"Oculimacula acuformis",110162,"Oculimacula acuformis",CHEMBL2366888,0)	Oculimacula acuformis
(107020,ORGANISM,"Heterodera schachtii",97005,"Heterodera schachtii",CHEMBL2366889,0)	Heterodera schachtii
(107021,ORGANISM,"Neoseiulus cucumeris",193551,"Neoseiulus cucumeris",CHEMBL2366890,0)	Neoseiulus cucumeris
(107022,ORGANISM,"Chrysoperla carnea",189513,"Chrysoperla carnea",CHEMBL2366891,0)	Chrysoperla carnea
(107023,ORGANISM,"Cotesia glomerata",32391,"Cotesia glomerata",CHEMBL2366892,0)	Cotesia glomerata
(107024,ORGANISM,"Discula theae-sinensis",645589,"Discula theae-sinensis",CHEMBL2366893,0)	Discula theae-sinensis
(107025,ORGANISM,"Podosphaera aphanis var. aphanis",81920,"Podosphaera aphanis var. aphanis",CHEMBL2366894,0)	Podosphaera aphanis var. aphanis
(107026,ORGANISM,"Procambarus clarkii",6728,"Procambarus clarkii",CHEMBL2366895,0)	Procambarus clarkii
(107027,ORGANISM,"Saprolegnia monoica",37553,"Saprolegnia monoica",CHEMBL2366896,0)	Saprolegnia monoica
(107028,ORGANISM,Alopecurus,15303,Alopecurus,CHEMBL2366897,1)	Alopecurus
(107029,ORGANISM,"Puccinia graminis f. sp. tritici",56615,"Puccinia graminis f. sp. tritici",CHEMBL2366898,0)	Puccinia graminis f. sp. tritici
(107030,ORGANISM,"Anomala orientalis",1310277,"Anomala orientalis",CHEMBL2366899,0)	Anomala orientalis
(107031,ORGANISM,"Chrysosporium keratinophilum",69893,"Chrysosporium keratinophilum",CHEMBL2366900,0)	Chrysosporium keratinophilum
(107032,ORGANISM,"Agrobacterium sp.",361,"Agrobacterium sp.",CHEMBL2366901,0)	Agrobacterium sp.
(107033,ORGANISM,"Influenza A virus H3N2",41857,"Influenza A virus H3N2",CHEMBL2366902,0)	Influenza A virus H3N2
(107034,ORGANISM,"Pseudocercospora musae",113226,"Pseudocercospora musae",CHEMBL2366903,0)	Pseudocercospora musae
(107035,ORGANISM,"Pseudanabaena sp.",1153,"Pseudanabaena sp.",CHEMBL2366904,0)	Pseudanabaena sp.
(107036,ORGANISM,"Cichorium intybus",13427,"Cichorium intybus",CHEMBL2366905,0)	Cichorium intybus
(107037,ORGANISM,"Staphylococcus aureus subsp. aureus RN4220",561307,"Staphylococcus aureus subsp. aureus RN4220",CHEMBL2366906,0)	Staphylococcus aureus subsp. aureus RN4220
(107038,ORGANISM,"Macrosteles quadripunctulatus",1128428,"Macrosteles quadripunctulatus",CHEMBL2366907,0)	Macrosteles quadripunctulatus
(107039,ORGANISM,"Candida albicans SC5314",237561,"Candida albicans SC5314",CHEMBL2366908,0)	Candida albicans SC5314
(107040,ORGANISM,"Sitobion avenae",44664,"Sitobion avenae",CHEMBL2366909,0)	Sitobion avenae
(107041,ORGANISM,"Tetragonisca angustula",166442,"Tetragonisca angustula",CHEMBL2366910,0)	Tetragonisca angustula
(107042,ORGANISM,Plesiomonas,702,Plesiomonas,CHEMBL2366911,1)	Plesiomonas
(107043,ORGANISM,Chrysomelidae,27439,Chrysomelidae,CHEMBL2366912,1)	Chrysomelidae
(107044,ORGANISM,Digitaria,66017,Digitaria,CHEMBL2366913,1)	Digitaria
(107045,ORGANISM,"Cleome viscosa",190804,"Cleome viscosa",CHEMBL2366914,0)	Cleome viscosa
(107046,ORGANISM,Cyperus,4610,Cyperus,CHEMBL2366915,1)	Cyperus
(107047,ORGANISM,"Sesamum indicum",4182,"Sesamum indicum",CHEMBL2366916,0)	Sesamum indicum
(107048,ORGANISM,"Callosobruchus chinensis",146774,"Callosobruchus chinensis",CHEMBL2366917,0)	Callosobruchus chinensis
(107049,ORGANISM,Aphididae,27482,Aphididae,CHEMBL2366918,1)	Aphididae
(107050,ORGANISM,"Aphis fabae",191316,"Aphis fabae",CHEMBL2366919,0)	Aphis fabae
(107051,ORGANISM,"Setaria verticillata",149379,"Setaria verticillata",CHEMBL2366920,0)	Setaria verticillata
(107052,ORGANISM,"Sitophilus zeamais",7047,"Sitophilus zeamais",CHEMBL2366921,0)	Sitophilus zeamais
(107053,ORGANISM,"Plasmodium falciparum 3D7",36329,"Plasmodium falciparum 3D7",CHEMBL2366922,0)	Plasmodium falciparum 3D7
(107054,ORGANISM,"Monilinia laxa",61186,"Monilinia laxa",CHEMBL2366923,0)	Monilinia laxa
(107055,ORGANISM,"Convolvulus arvensis",4123,"Convolvulus arvensis",CHEMBL2366924,0)	Convolvulus arvensis
(107056,ORGANISM,"Achaea janata",378752,"Achaea janata",CHEMBL2366925,0)	Achaea janata
(107057,ORGANISM,Gossypium,3633,Gossypium,CHEMBL2366926,1)	Gossypium
(107058,ORGANISM,"Trifolium repens",3899,"Trifolium repens",CHEMBL2366927,0)	Trifolium repens
(107059,ORGANISM,"Talinum fruticosum",110664,"Talinum fruticosum",CHEMBL2366928,0)	Talinum fruticosum
(107060,ORGANISM,"Ceratocystis paradoxa",13001,"Ceratocystis paradoxa",CHEMBL2366929,0)	Ceratocystis paradoxa
(107061,ORGANISM,"Nocardia canis",1817,"Nocardia canis",CHEMBL2366930,0)	Nocardia canis
(107062,ORGANISM,"Trametes versicolor",5325,"Trametes versicolor",CHEMBL2366931,0)	Trametes versicolor
(107063,ORGANISM,"Lepidium didymum",398450,"Lepidium didymum",CHEMBL2366932,0)	Lepidium didymum
(107064,ORGANISM,"Podosphaera xanthii",135283,"Podosphaera xanthii",CHEMBL2366933,0)	Podosphaera xanthii
(107065,ORGANISM,"Rosa pendulina",74642,"Rosa pendulina",CHEMBL2366934,0)	Rosa pendulina
(107066,ORGANISM,"Carnation mottle virus",11986,"Carnation mottle virus",CHEMBL2366935,0)	Carnation mottle virus
(107067,ORGANISM,"Pseudoperonospora cubensis",143453,"Pseudoperonospora cubensis",CHEMBL2366936,0)	Pseudoperonospora cubensis
(107068,ORGANISM,"Diaporthe citri",83186,"Diaporthe citri",CHEMBL2366937,0)	Diaporthe citri
(107069,ORGANISM,Macrophoma,108329,Macrophoma,CHEMBL2366938,1)	Macrophoma
(107070,ORGANISM,"Conyza bonariensis",91242,"Conyza bonariensis",CHEMBL2366939,0)	Conyza bonariensis
(107071,ORGANISM,"Zymoseptoria tritici",1047171,"Zymoseptoria tritici",CHEMBL2366940,0)	Zymoseptoria tritici
(107072,ORGANISM,"Zingiber officinale",94328,"Zingiber officinale",CHEMBL2366941,0)	Zingiber officinale
(107073,ORGANISM,"Colletotrichum acutatum",27357,"Colletotrichum acutatum",CHEMBL2366942,0)	Colletotrichum acutatum
(107074,ORGANISM,"Cnaphalocrocis medinalis",437488,"Cnaphalocrocis medinalis",CHEMBL2366943,0)	Cnaphalocrocis medinalis
(107075,ORGANISM,"Pisum fulvum",51020,"Pisum fulvum",CHEMBL2366944,0)	Pisum fulvum
(107076,ORGANISM,"Avena sterilis subsp. ludoviciana",83445,"Avena sterilis subsp. ludoviciana",CHEMBL2366945,0)	Avena sterilis subsp. ludoviciana
(107077,ORGANISM,"Spirodela polyrhiza",29656,"Spirodela polyrhiza",CHEMBL2366946,0)	Spirodela polyrhiza
(107078,ORGANISM,"Erwinia billingiae",182337,"Erwinia billingiae",CHEMBL2366947,0)	Erwinia billingiae
(107079,ORGANISM,"Erwinia tasmaniensis",338565,"Erwinia tasmaniensis",CHEMBL2366948,0)	Erwinia tasmaniensis
(107080,ORGANISM,"Sitophilus granarius",7046,"Sitophilus granarius",CHEMBL2366949,0)	Sitophilus granarius
(107081,ORGANISM,"Euphorbia helioscopia",154990,"Euphorbia helioscopia",CHEMBL2366950,0)	Euphorbia helioscopia
(107082,ORGANISM,"Viola arvensis",97415,"Viola arvensis",CHEMBL2366951,0)	Viola arvensis
(107083,ORGANISM,"Echinochloa oryzicola",338574,"Echinochloa oryzicola",CHEMBL2366952,0)	Echinochloa oryzicola
(107084,ORGANISM,"Schoenoplectiella juncoides",280076,"Schoenoplectiella juncoides",CHEMBL2366953,0)	Schoenoplectiella juncoides
